,Категория,Название,Автор,ID,Превью,Изображение,Оценка,Цена,Цена (старая),В наличии,Описание,Число отзывов,Число оценок,ISBN,Издательство,Серия,Обложка,Формат,Количество страниц,Год издания,Язык,Раздел,Направление,Страна-производитель,"Вес, г",Возрастные ограничения,Жанр,Герои,Эпоха,Возраст,Иллюстратор,Тип,Вид бумаги,Материал,"Размер, см",Пол,Назначение,Тематика,Упаковка,Рисунок,Иллюстрации
10, Книги; Художественная литература; Фантастика и фэнтези,Противостояние. 5 июля 1990 - 10 января 1991,Стивен Кинг,486522,https://www.respublica.ru/items/361968/download_preview_pdf,https://www.respublica.ru/uploads/00/00/00/6x/5i/large_73cd6cb9479aa7bc.jpg,,390,,True,"Америка превратилась в ад. Из секретной лаборатории вырвался на свободу опаснейший вирус. Умерли сотни тысяч, миллионы ни в чем не повинных людей… Однако и это еще не все. Вступили в игру беспощадные и могучие силы. Рвется к власти таинственный темный человек, способный подчинять себе слабые, сомневающиеся души. Кто он? Откуда явился? Что сулит человечеству его победа? Немногие люди, не утратившие еще представления о Добре и Зле, должны понять это, - ведь, не зная врага, его невозможно победить…",,,978-5-17-111821-1,АСТ,Король на все времена(м),Мягкая,"11,5 x 18",992,2018,Русский,Зарубежные,Мистика,Россия,468,16+,,,,,,,,,,,,,,,
11, Книги; Художественная литература; Фантастика и фэнтези,Противостояние. 16 июня - 4 июля 1990,Стивен Кинг,486521,https://www.respublica.ru/items/361967/download_preview_pdf,https://www.respublica.ru/uploads/01/00/00/6x/5j/large_01a352f3027d301b.jpg,5.0,215,,True,"Америка превратилась в ад. Из секретной лаборатории вырвался на свободу опаснейший вирус. Умерли сотни тысяч, миллионы ни в чем не повинных людей… Однако и это еще не все. Вступили в игру беспощадные и могучие силы. Рвется к власти таинственный темный человек, способный подчинять себе слабые, сомневающиеся души. Кто он? Откуда явился? Что сулит человечеству его победа? Немногие люди, не утратившие еще представления о Добре и Зле, должны понять это, - ведь, не зная врага, его невозможно победить…",1,1,978-5-17-111820-4,АСТ,Король на все времена(м),Мягкая,"11,5 x 18",640,2018,Русский,Зарубежные,Мистика,Россия,,,,,,,,,,,,,,,,,
12, Книги; Художественная литература; Фантастика и фэнтези,"Девочка, которая любила Тома Гордона",Стивен Кинг,484943,https://www.respublica.ru/items/360505/download_preview_pdf,https://www.respublica.ru/uploads/01/00/00/6o/qz/large_4b29b900ec93429e.jpg,,250,,True,"Девятилетняя Триша заблудилась в лесу, и чем дольше она ищет дорогу назад, тем дальше заходит в глубь лесной чащи. Тянутся часы. Все сильнее голод и жажда. Кажется, надежды уже нет. Не спасают даже мысленные беседы с Томом Гордоном, легендарным спортсменом, — так девочка пытается забыть о страхе и отчаянии. А по пятам за ней следует таинственный и не знающий жалости Зверь — он терпеливо ждет, когда ее покинут последние силы...",,,978-5-17-111310-0,АСТ,Современная зарубежная проза,Мягкая,12 х 18,288,2018,Русский,Зарубежные,Фэнтези,Россия,150,0+,,,,,,,,,,,,,,,
13, Книги; Художественная литература; Классическая литература,После заката,Стивен Кинг,482933,https://www.respublica.ru/items/358652/download_preview_pdf,https://www.respublica.ru/uploads/00/00/00/6l/ai/large_460776ca8eadafe6.jpg,,540,,True,"""Команда скелетов"", ""Ночная смена"", ""Все предельно""...Сборники рассказов всегда занимали в творчестве Стивена Кинга особое место.""После заката"" - ""чертова дюжина"" историй, каждая из которых может считаться образцом жанра.Тринадцать - хорошее число.Но легко ли вместе с героями Кинга пережить тринадцать встреч со Злом, Тьмой и Ужасом?..",,,978-5-17-111788-7,АСТ,Темная башня,Твердая,"20,5 х 13",416,2018,Русский,Зарубежные,,Россия,,,,,,,,,,,,,,,,,
14, Книги; Художественная литература; Фантастика и фэнтези,Секретные окна,Стивен Кинг,480929,https://www.respublica.ru/items/356645/download_preview_pdf,https://www.respublica.ru/uploads/01/00/00/6i/wf/large_727a5a0745a8bb98.jpg,,530,,True,"Вы хотите познакомиться с двумя самыми первыми рассказами, которые Стивен Кинг написал еще в 12 лет? Узнать историю о том, как он пробивался к своим первым публикациям? Какие книги он любит больше всего и постоянно перечитывает? Как относится к собственной славе? И есть ли что-то, что пугает самого Стивена Кинга? В этой книге вы найдете ответы на эти и многие другие вопросы, также в ней собраны профессиональные советы начинающим авторам, еще только ищущим свой ""стиль и почерк"", редкие статьи, интервью и нехудожественные работы Мастера.",,,978-5-17-107606-1,АСТ,Вселенная Стивена Кинга,Твердая,13 х 17,544,2018,Русский,Зарубежные,Фэнтези,Россия,367,16+,,,,,,,,,,,,,,,
15, Книги; Художественная литература; Фантастика и фэнтези,Мешок с костями,Стивен Кинг,471244,https://www.respublica.ru/items/346936/download_preview_pdf,https://www.respublica.ru/uploads/01/00/00/61/yn/large_be65f7aa7a860cd1.jpg,,460,,True,"Добро пожаловать в маленький тихий городок, куда приезжает писатель Майк Нунэн в надежде залечить душевные раны после смерти жены. Добро пожаловать в его уютный дом, где обитают призраки. Добро пожаловать на озеро Темный След, где из года в год при загадочных обстоятельствах гибнут люди. Похоже, этот городок находится во власти Темных Сил, решает Майк. Но сможет ли он разобраться, что здесь происходит на самом деле – и чем ему придется ради этого пожертвовать?",,,978-5-17-106936-0,АСТ,Король на все времена,Твердая,13 x 20,640,2018,Русский,Зарубежные,Мистика,Россия,440,6+,,,,,,,,,,,,,,,
16, Книги; Художественная литература; Фантастика и фэнтези,Кэрри,Стивен Кинг,470118,https://www.respublica.ru/items/345815/download_preview_pdf,https://www.respublica.ru/uploads/00/00/00/62/t4/large_91dc0d47d0cd4138.jpg,,260,,True,"Маленький провинциальный городок в Новой Англии в одночасье становится ""мертвым городом"". На улицах лежат трупы, над домами бушует смертоносное пламя. И весь этот кошмар огненного Апокалипсиса — дело рук одного человека, девушки Кэрри, жалкой, запуганной дочери чудаковатой вдовы. Долгие годы дремал в Кэрри талант телекинеза, чтобы однажды проснуться. И тогда в городок пришла смерть...",,,978-5-17-104491-6,АСТ,Король на все времена,Мягкая,11 х 18,256,2018,Русский,Зарубежные,Мистика,Россия,173,0+,,,,,,,,,,,,,,,
17, Книги; Художественная литература; Фантастика и фэнтези,Пляска смерти,Стивен Кинг,470123,https://www.respublica.ru/items/345810/download_preview_pdf,https://www.respublica.ru/uploads/01/00/00/62/t1/large_9fd73e817c8cc767.jpg,,570,,True,"Одна из наиболее известных нехудожественных работ Стивена Кинга, в которой он выступает не в роли писателя, а в роли критика, вдумчиво, тонко и с юмором анализирующего жанр ужасов. Написанная на основе цикла лекций Кинга ""Особенности литературы о сверхъестественном"", эта книга расскажет много нового о ""культуре ужасов"" в кино, на радио и, конечно же, в литературе. Особенно вдохновенно Стивен Кинг повествует о жанре ужасов в кинематографе — и даже прилагает к книге список своих любимых фильмов. Итак, почему же нам так нравятся ""страшные"" истории? Какие произведения классиков американской литературы ХХ века повлияли на развитие жанра? И, наконец, какие фильмы до дрожи пугают самого Мастера?",,,978-5-17-104411-4,АСТ,Темная Башня,Твердая,13 x 20,512,2017,Русский,Зарубежные,Мистика,Россия,416,16+,,,,,,,,,,,,,,,
18, Книги; Художественная литература; Фантастика и фэнтези,Нужные вещи,Стивен Кинг,464587,https://www.respublica.ru/items/340227/download_preview_pdf,https://www.respublica.ru/uploads/00/00/00/5u/3y/large_cb86963c458110c2.jpg,,390,,True,"Человеческая душа темна и с легкостью обращается ко Злу… Об этом хорошо известно демону, прибывшему в маленький американский городок и открывшему там магазинчик «Нужные вещи». Он готов предложить покупателям именно то, о чем они мечтают… в обмен на маленькую услугу. Он всего-то и просит – невинно подшутить над соседом или приятелем. Но достаточно сделать первый шаг по дороге в Ад – и происходящее уже не остановить. Зло воцаряется в городке. Рано или поздно Зло обратится в кровавый, смертоносный хаос…",,,978-5-17-103088-9,АСТ,Король на все времена,Мягкая,11 х 18,864,2017,Русский,Зарубежные,,Россия,417,0+,,,,,,,,,,,,,,,
19, Книги; Художественная литература; Фантастика и фэнтези,Куджо,Стивен Кинг,463655,https://www.respublica.ru/items/339294/download_preview_pdf,https://www.respublica.ru/uploads/01/00/00/62/fp/large_838d395c3a6044ac.jpg,,180,,True,"Увалень сенбернар, преследуя кролика, забирается в нору. А в ней таится зловещая тварь, жуткое, кошмарное нечто... Маленький мальчик видит, как сама по себе отворяется дверца шкафа, из темноты на него глядят пылающие пламенем глаза... Провинциальный городок охвачен ужасом - его жителям грозит смертельная опасность...",,,978-5-17-105536-3,АСТ,Король на все времена,Мягкая,11 х 19,320,2017,Русский,Зарубежные,Мистика,Россия,165,16+,,,,,,,,,,,,,,,
